CustomerID,Age,HomeOwner,ResidenceLength,DwellingType,Gender,Marital,HouseholdSize,ChildPresent,Child0-5,Child6-12,Child13-18,Income,Occupation,HomeValue,MagazineStatus,PaidDirectMailOrders,YearsSinceLastOrder,TotalAmountPaid,DollarsPerIssue,TotalPaidOrders,MonthsSinceLastPayment,LastPaymentType,UnpaidMagazines,PaidCashMagazines,PaidReinstateMagazines,PaidCreditMagazines,ActiveSubscriptions,ExpiredSubscriptions,RequestedCancellations,NoPayCancellations,PaidComplaints,GiftDonor,NumberGiftDonations,MonthsSince1stOrder,MonthsSinceLastOrder,MonthsSinceExpire,Renewal
1,70,10,1,M,F,M,3,Y,45,35,100,29000,R,4,B,2,8,50,0.36,3,89,0,3,2,0,0,0,2,0,3,0,N,0,118,89,52,0
3,76,10,1,M,F,M,2,N,25,15,25,36000,U,7,E,3,3,60,0.62,3,53,1,0,0,0,2,0,2,0,0,0,N,0,91,54,17,0
4,54,10,1,M,F,S,1,U,0,15,0,23000,M,3,E,0,5,41.5,0.38,3,68,2,0,0,0,1,0,1,0,0,0,N,0,158,60,20,0
6,40,10,1,M,F,M,2,Y,65,55,85,30000,U,2,E,0,4,21.97,0.61,2,59,A,0,2,0,0,0,2,0,0,0,N,0,59,59,46,1
7,60,10,5,M,U,S,1,N,15,35,15,144000,W,5,O,0,0,0,0,1,60,A,0,1,0,0,0,1,0,0,0,N,0,60,60,47,0
8,27,10,1,M,F,S,1,Y,45,15,15,5000,U,5,O,0,4,0,0,1,55,A,0,1,0,0,0,1,0,0,0,N,0,55,55,42,0
10,24,10,2,M,F,S,2,Y,15,25,15,24000,U,4,E,0,3,12,0.67,2,47,A,0,2,0,0,0,2,0,0,0,N,0,47,47,34,0
11,54,10,1,M,M,S,2,U,45,0,15,78000,W,7,E,0,4,0,0.62,0,31,A,0,1,0,0,0,1,0,0,0,N,0,31,31,13,0
12,31,10,1,M,F,S,2,U,15,15,15,60000,M,2,E,0,5,0,0,1,25,A,0,1,0,0,0,1,0,0,0,N,0,25,25,12,0
13,22,10,4,M,F,S,2,U,15,15,35,5000,U,2,E,0,2,12,1.5,1,16,A,0,1,0,0,0,1,0,0,0,N,0,16,16,6,0
14,22,10,1,M,F,S,1,N,0,0,0,5000,U,3,E,0,5,45.97,0.92,2,57,1,0,1,0,1,0,2,0,0,0,N,0,58,58,33,0
15,65,10,4,M,F,S,3,N,15,25,35,22000,U,9,E,4,3,99.91,0.52,11,57,1,0,2,0,1,0,3,0,0,0,N,0,360,121,79,0
16,72,10,1,S,F,S,1,N,45,65,35,5000,H,1,B,0,0,30.94,0.96,2,5,S,0,4,0,0,0,1,0,3,0,N,0,68,68,57,0
18,57,10,5,M,M,S,2,N,0,25,25,38000,U,2,E,0,5,115.96,2,2,35,A,0,1,1,0,0,2,0,0,0,N,0,35,35,13,0
19,65,10,11,M,F,S,1,U,15,15,35,5000,B,3,E,0,3,82,0.88,2,29,A,0,2,0,0,0,2,0,0,0,N,0,50,29,3,0
21,65,10,14,S,F,S,2,Y,15,25,35,5000,U,1,E,0,5,0.01,0.55,1,40,A,0,2,0,0,0,2,0,0,0,N,0,50,50,37,0
22,46,10,1,M,F,S,3,Y,45,15,45,5000,U,5,E,0,9,124,1.3,2,63,A,0,2,0,0,0,2,0,0,0,N,0,63,63,8,0
25,42,10,4,M,F,S,4,Y,45,25,15,5000,U,5,O,0,4,0.49,0.04,1,55,A,0,1,0,0,0,1,0,0,0,N,0,55,55,42,0
26,37,10,1,M,M,S,1,U,0,0,0,7000,U,4,E,0,3,106,1.26,2,52,A,0,2,0,0,0,2,0,0,0,N,0,52,52,15,0
27,65,10,7,M,M,S,3,U,25,45,35,22000,U,3,O,0,4,0,0.56,0,53,A,0,1,0,0,0,1,0,0,0,N,0,53,53,37,0
