CustomerID,Age,HomeOwner,ResidenceLength,DwellingType,Gender,Marital,HouseholdSize,ChildPresent,Child0-5,Child6-12,Child13-18,Income,Occupation,HomeValue,MagazineStatus,PaidDirectMailOrders,YearsSinceLastOrder,TotalAmountPaid,DollarsPerIssue,TotalPaidOrders,MonthsSinceLastPayment,LastPaymentType,UnpaidMagazines,PaidCashMagazines,PaidReinstateMagazines,PaidCreditMagazines,ActiveSubscriptions,ExpiredSubscriptions,RequestedCancellations,NoPayCancellations,PaidComplaints,GiftDonor,NumberGiftDonations,MonthsSince1stOrder,MonthsSinceLastOrder,MonthsSinceExpire
7457,77,100,10,S,F,M,3,N,45,45,35,205000,R,5,E,4,6,181.46,0.51,16,65,1,0,1,0,2,0,3,0,0,0,N,0,117,84,47
19306,64,100,9,S,F,M,3,N,45,55,45,79000,W,4,O,0,6,37.97,1.05,2,79,A,0,2,0,0,0,2,0,0,0,N,0,92,92,68
11490,66,100,7,S,F,M,5,Y,65,100,100,215000,W,9,E,0,5,69,1.2,7,39,6,0,2,0,1,0,4,0,0,0,N,0,157,109,93
33126,49,100,14,S,F,M,6,Y,65,100,100,95000,B,4,O,0,6,0,0.92,0,110,A,0,1,0,0,0,2,0,0,0,N,0,110,110,97
41741,32,0,1,S,F,M,5,Y,100,100,75,66000,W,1,B,0,8,30,0.56,2,95,6,0,1,0,1,0,2,0,1,0,N,0,93,93,53
41956,42,0,13,S,F,M,5,Y,0,0,0,42500,M,2,E,0,5,0.07,0,7,40,A,0,7,0,0,0,7,0,0,0,N,0,50,50,37
6724,60,100,14,S,F,M,4,N,45,45,45,80000,W,2,E,3,5,79.06,0.51,6,46,3,0,0,0,2,0,2,0,0,0,Y,1,372,59,23
11986,69,100,1,S,F,M,2,N,0,0,0,42500,R,2,A,2,1,116,0.88,9,15,1,0,1,0,1,1,1,0,0,0,N,0,202,51,24
5278,70,100,5,S,M,M,4,Y,0,0,85,117000,W,7,O,0,10,122.97,0.79,6,114,A,0,2,0,0,0,2,0,0,0,N,0,198,114,88
38740,68,100,1,M,F,S,1,N,15,0,35,59000,U,2,E,0,5,0,0.42,0,47,A,0,1,0,0,0,1,0,0,0,N,0,47,47,33
22944,38,100,11,M,M,M,3,Y,100,100,100,69000,W,3,O,0,15,65.94,0.92,5,121,A,0,1,0,1,0,2,0,0,0,N,0,203,121,80
13153,65,100,14,S,F,M,6,Y,25,15,35,31000,U,4,C,1,3,20,0.57,3,116,0,1,0,0,1,0,1,1,0,0,N,0,142,118,81
